ANONYMIZED ID;TEST FEB;PRACTICAL EX FEB;PRACTICES FEB;FINAL FEB;TEST SEPT;PRACTICAL EX SEPT;PRACTICES SEPT;FINAL SEPT;YEAR
J6TSO;NA;NA;NA;NA;NA;NA;NA;NA;2013
FXW9v;NA;NA;NA;NA;NA;NA;NA;NA;2015
ADvMY;NA;NA;NA;NA;NA;NA;NA;NA;2014
KfnpS;NA;NA;NA;NA;NA;NA;NA;NA;2013
t/Ykm;NA;NA;NA;NA;NA;NA;NA;NA;2011
t/Ykm;NA;NA;NA;NA;NA;NA;NA;NA;2012
GUs0K;NA;NA;NA;NA;NA;NA;NA;NA;2011
Rpizb;8,00;5,00;0,80;6,20;NA;NA;NA;NA;2012
cjcMv;NA;NA;NA;NA;NA;NA;NA;NA;2017
GMh7N;NA;NA;NA;NA;NA;NA;NA;NA;2012
a6zzi;4,00;0,00;0,75;1,20;NA;NA;NA;NA;2011
jVUJZ;NA;NA;NA;NA;NA;NA;NA;NA;2011
J8Dkw;NA;NA;NA;NA;NA;NA;NA;NA;2012
J8Dkw;NA;NA;NA;NA;NA;NA;NA;NA;2013
J8Dkw;NA;NA;NA;NA;NA;NA;NA;NA;2014
J8Dkw;NA;NA;NA;NA;NA;NA;NA;NA;2015
tRxaF;3,00;0,00;0,35;0,90;NA;NA;NA;NA;2013
iMwaN;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2011
iMwaN;NA;NA;NA;NA;NA;NA;NA;NA;2012
rFGse;NA;NA;NA;NA;NA;NA;NA;NA;2013
9Jy2M;NA;NA;NA;NA;NA;NA;NA;NA;2014
LGPB9;NA;NA;NA;NA;NA;NA;NA;NA;2016
5rUv3;NA;NA;NA;NA;NA;NA;NA;NA;2017
5jBmR;2,00;0,00;0,00;0,60;NA;NA;NA;NA;2013
8NAie;6,00;NA;0,30;3,30;NA;NA;NA;NA;2015
7xOaY;NA;NA;NA;NA;NA;NA;NA;NA;2018
JGbYw;NA;NA;NA;NA;NA;NA;NA;NA;2012
JGbYw;NA;NA;NA;NA;NA;NA;NA;NA;2013
dvDp2;NA;NA;NA;NA;NA;NA;NA;NA;2016
TyM2M;NA;NA;NA;NA;NA;NA;NA;NA;2013
TyM2M;NA;NA;NA;NA;NA;NA;NA;NA;2015
T6G6I;6,00;0,00;0,00;1,80;NA;NA;NA;NA;2018
4GUm+;NA;NA;NA;NA;NA;NA;NA;NA;2014
vyG2x;NA;NA;NA;NA;NA;NA;NA;NA;2012
DvQ/j;5,00;2,00;1,00;3,70;8,00;2,67;1,00;5,00;2011
M2Wpa;NA;NA;NA;NA;NA;NA;NA;NA;2013
pl1mT;NA;NA;NA;NA;NA;NA;NA;NA;2011
8Hp5J;NA;NA;NA;NA;NA;NA;NA;NA;2011
T9VOh;NA;NA;NA;NA;NA;NA;NA;NA;2011
RmL/Z;2,00;NA;0,00;0,60;8,00;5,00;0,00;6,00;2014
kCc52;NA;NA;NA;NA;NA;NA;NA;NA;2013
TG5mM;4,00;0,00;NA;1,20;NA;NA;NA;NA;2012
TG5mM;NA;NA;NA;NA;NA;NA;NA;NA;2016
eEBiV;NA;NA;NA;NA;NA;NA;NA;NA;2012
F9C2L;NA;NA;NA;NA;NA;NA;NA;NA;2012
rrJC/;NA;NA;NA;NA;NA;NA;NA;NA;2018
mP3Cj;8,00;7,08;0,85;7,50;NA;NA;NA;NA;2012
IcExS;NA;NA;NA;NA;NA;NA;NA;NA;2013
IcExS;NA;NA;NA;NA;NA;NA;NA;NA;2014
IcExS;NA;NA;NA;NA;NA;NA;NA;NA;2015
vQJst;NA;NA;NA;NA;NA;NA;NA;NA;2014
jm3Uq;NA;NA;NA;NA;NA;NA;NA;NA;2011
haKy0;NA;NA;NA;NA;NA;NA;NA;NA;2014
haKy0;NA;NA;NA;NA;NA;NA;NA;NA;2015
IT34a;7,00;NA;0,95;7,00;NA;NA;NA;NA;2015
v7pmF;NA;NA;NA;NA;NA;NA;NA;NA;2017
BsT37;NA;NA;NA;NA;NA;NA;NA;NA;2012
zd7JO;NA;NA;NA;NA;NA;NA;NA;NA;2011
ho/YH;NA;NA;NA;NA;NA;NA;NA;NA;2018
Qbpt4;NA;NA;NA;NA;NA;NA;NA;NA;2013
379Lu;NA;NA;NA;NA;NA;NA;NA;NA;2018
GeCJr;NA;NA;NA;NA;NA;NA;NA;NA;2018
4UvzN;NA;NA;NA;NA;NA;NA;NA;NA;2016
GH0Yo;3,00;0,00;0,00;0,90;NA;NA;NA;NA;2013
e/he5;5,00;2,00;0,50;3,20;5,00;0,50;5,00;5,00;2016
3nY5J;NA;NA;NA;NA;NA;NA;NA;NA;2013
ixSub;8,00;8,00;0,00;7,20;NA;NA;NA;NA;2018
I+a7h;NA;NA;NA;NA;NA;NA;NA;NA;2013
FT76N;NA;NA;NA;NA;NA;NA;NA;NA;2014
xxAHJ;NA;NA;NA;NA;NA;NA;NA;NA;2015
3+7HU;NA;NA;NA;NA;NA;NA;NA;NA;2012
BOWHx;NA;NA;NA;NA;NA;NA;NA;NA;2013
Oj1ok;NA;NA;NA;NA;NA;NA;NA;NA;2012
Kjga0;NA;NA;NA;NA;7,00;0,00;NA;5,00;2011
+TO+T;NA;NA;NA;NA;NA;NA;NA;NA;2011
l7USZ;NA;NA;NA;NA;NA;NA;NA;NA;2012
GFTuA;NA;NA;NA;NA;NA;NA;NA;NA;2011
